form_position,item_id,form_version,domain_code,domain_name,subarea_code,format,cognitive_level,scenario_id,scenario_order,scenario_text,exhibit_asset,stem,option_a,option_b,option_c,option_d,correct_option,rationale_correct,rationale_a,rationale_b,rationale_c,rationale_d,source_ref,study_guide_slug,shuffle_options,calculator_needed,status,author,reviewed_by,last_updated
28,D8-03,DIAG-1.0,8,Areas of Practice,8.7 Hazard mitigation and resiliency planning,single,recall,,,,,A property in the FEMA-designated 100-year floodplain is correctly described as:,Subject to flooding once every 100 years,Ineligible for federal flood insurance,Having a 1 percent chance of flooding in any given year,Located above the base flood elevation,C,The 100-year floodplain is the area with a 1 percent annual chance of inundation. The annual-probability framing is used precisely because the century framing misleads owners.,The recurrence-interval phrasing wrongly implies a fixed schedule; multiple events can occur in consecutive years.,NFIP insurance is available in participating communities and is generally mandatory for federally backed mortgages in the mapped area.,The 100-year floodplain is the area with a 1 percent annual chance of inundation. The annual-probability framing is used precisely because the century framing misleads owners.,"The base flood elevation is the flood height within this area, not an elevation above it.",FEMA National Flood Insurance Program terminology,hazards/floodplain-basics,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
29,D4-03,DIAG-1.0,4,Plan and Policy Development,4.1 Preparing to plan,roman,application,,,,,"A planner is scoping a small-area plan. Which belong in the scoping phase rather than later phases?

I. Establishing the geographic boundary and horizon year
II. Identifying the statutory and regulatory context that constrains what the plan can do
III. Adopting the zoning amendments that will implement the plan
IV. Determining which stakeholders have historically been excluded and how they will be reached",I and II only,"I, II, and IV only","II, III, and IV only","I, II, III, and IV",B,"Boundary and horizon, legal and regulatory constraints, and the engagement strategy are all scoping decisions. Zoning amendments are implementation and follow adoption.","Omits engagement planning, which must be designed at the outset to be effective.","Boundary and horizon, legal and regulatory constraints, and the engagement strategy are all scoping decisions. Zoning amendments are implementation and follow adoption.",III occurs after the plan is adopted.,III is not a scoping task.,"APA Content Outline 4.1, 4.7",plan-making/scoping,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
30,D1-06,DIAG-1.0,1,Research and Assessment Methods,1.1 Conducting research and acquiring knowledge,single,recall,,,,,"A survey instrument produces nearly identical results each time it is administered to the same population, but the questions do not actually measure the concept the researchers intend to study. This instrument is:",Reliable but not valid,Valid but not reliable,Neither reliable nor valid,"Both reliable and valid, since consistency establishes validity",A,Reliability is consistency of measurement; validity is whether the instrument measures the intended construct. An instrument can be consistently wrong.,Reliability is consistency of measurement; validity is whether the instrument measures the intended construct. An instrument can be consistently wrong.,Reversed. Consistency across administrations is reliability.,The instrument is demonstrably reliable.,Reliability is necessary but not sufficient for validity.,Research methods fundamentals,research-methods/validity-reliability,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
31,D5-06,DIAG-1.0,5,Plan Implementation,5.3 Proposal assessment for consistency,single,application,,,,,"An applicant requests a variance because the permitted density would yield a lower return than a neighboring property achieved under different zoning. Under the standards applied in most jurisdictions, the board of adjustment should:","Grant the variance, since equal treatment among neighbors is required",Grant the variance if the applicant agrees to conditions,Refer the request to the governing body for a use variance,"Deny the variance, because a variance requires a hardship arising from unique physical characteristics of the property, and reduced profitability is not such a hardship",D,"Variance standards generally require unnecessary hardship or practical difficulty arising from the physical characteristics of the parcel, not self-created or economic circumstances.",Differences from a neighbor's zoning are not grounds for a variance.,Conditions cannot cure the absence of the required hardship finding.,"The request is for a dimensional or economic accommodation, and referral does not supply the missing finding.","Variance standards generally require unnecessary hardship or practical difficulty arising from the physical characteristics of the parcel, not self-created or economic circumstances.",Variance standards; unnecessary hardship,zoning/variances,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
32,D9-03,DIAG-1.0,9,AICP Code of Ethics and Professional Conduct,9.4 Upholding the rules of conduct (compliance and administration),ethics_case,application,,,,,"Two consulting firms are shortlisted for a large contract. The principal of one firm, an AICP member, files a charge of ethical misconduct against the competing firm's lead planner, knowing the allegation has no factual basis, and mentions the pending charge to the selection committee.",Definitely violates the AICP Code of Ethics and Professional Conduct,Possibly violates the AICP Code of Ethics and Professional Conduct,Does not violate the AICP Code of Ethics and Professional Conduct,Insufficient information to respond,A,"The rules of conduct expressly prohibit filing a frivolous charge of ethical misconduct against another planner. Using the charge to gain competitive advantage is an aggravating circumstance, not a defense.","The rules of conduct expressly prohibit filing a frivolous charge of ethical misconduct against another planner. Using the charge to gain competitive advantage is an aggravating circumstance, not a defense.","The facts state the member knew the allegation lacked basis, which removes the ambiguity.",Knowingly baseless charges are directly addressed by the rules.,Intent and the absence of factual basis are both given.,"AICP Code of Ethics and Professional Conduct (2022), Rules of Conduct",ethics/frivolous-charges,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
33,D3-05,DIAG-1.0,3,Communication and Interaction,3.7 Processes and techniques for consensus,single,application,,,,,Two agencies are deadlocked over a shared drainage facility. They jointly retain a neutral third party who has no authority to impose an outcome but who structures the discussions and helps them reach their own agreement. This is:,Arbitration,Adjudication,Litigation,Mediation,D,"Mediation uses a neutral to facilitate a voluntary agreement. The neutral has no power to decide, which is the distinguishing feature.","An arbitrator hears the dispute and renders a decision, which may be binding.",Adjudication is decision by a judicial or quasi-judicial officer.,"Litigation is formal court proceeding, not a neutral-assisted negotiation.","Mediation uses a neutral to facilitate a voluntary agreement. The neutral has no power to decide, which is the distinguishing feature.",APA Content Outline 3.7; dispute resolution methods,engagement/mediation-arbitration,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
34,D6-03,DIAG-1.0,6,Administration and Management,6.1 Project or program management,calculation,application,,,,,"A long-range division has 5 planners, each with 1,600 productive hours per year. Current commitments consume 4,200 hours for development review support and 3,000 hours for ongoing plan updates. How many hours remain for new work in the coming year?",500 hours,800 hours,"1,200 hours","1,800 hours",B,"Total capacity is 5 x 1,600 = 8,000 hours. Commitments total 4,200 + 3,000 = 7,200 hours, leaving 800 hours.",This understates available capacity.,"Total capacity is 5 x 1,600 = 8,000 hours. Commitments total 4,200 + 3,000 = 7,200 hours, leaving 800 hours.","This appears to use 1,680 hours per planner or drops part of a commitment.",This subtracts only one of the two commitments in part.,Workload and staff capacity analysis,administration/workload-planning,TRUE,TRUE,review,All Aboard Planning,,2026-09-14
35,D7-03,DIAG-1.0,7,Leadership,7.9 Discerning and promoting the public interest,single,analysis,,,,,"Two organized groups take opposing positions on a proposal, and a third group most affected by it has not participated. In discerning the public interest, the planner should:",Adopt the position held by the larger of the two organized groups,Remain neutral and present the two positions without analysis,"Take deliberate steps to surface the interests of the unrepresented group and weigh long-term and community-wide consequences, not only the views expressed","Defer entirely to the governing body, since the public interest is a political determination",C,"The Code describes a public interest attained through continuous and open debate, which obligates the planner to widen participation and to consider long-range consequences rather than tallying the loudest voices.",Counting organized voices substitutes mobilization for the public interest.,Presenting positions without analysis abdicates the professional contribution.,"The Code describes a public interest attained through continuous and open debate, which obligates the planner to widen participation and to consider long-range consequences rather than tallying the loudest voices.","The governing body decides, but the planner still owes independent analysis.",AICP Code Principle A; APA Content Outline 7.9,leadership/public-interest,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
36,D2-04,DIAG-1.0,2,Fundamental Planning Knowledge,2.3 Foundational legal principles,single,application,,,,,"A city takes title to a blighted parcel through eminent domain and conveys it to a private developer as part of an adopted redevelopment plan. Under Kelo v. City of New London, this is:","Permissible, because economic development pursuant to a carefully considered plan can satisfy the public use requirement","Impermissible, because transfer to a private party can never be a public use",Permissible only if the property is left in public ownership,Impermissible unless the owner is paid double the appraised value,A,"Kelo held that economic development carried out under a comprehensive, carefully formulated redevelopment plan satisfies the federal public use requirement. Many states subsequently narrowed this authority by statute or constitutional amendment.","Kelo held that economic development carried out under a comprehensive, carefully formulated redevelopment plan satisfies the federal public use requirement. Many states subsequently narrowed this authority by statute or constitutional amendment.",The Court expressly rejected a categorical bar on transfers to private parties.,Continued public ownership is not required under the federal standard.,"The constitutional standard is just compensation, generally fair market value.","Kelo v. City of New London, 545 U.S. 469 (2005)",planning-law/eminent-domain,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
37,D8-04,DIAG-1.0,8,Areas of Practice,8.8 Natural resources planning,ordering,recall,,,,,"Place the following NEPA steps for a major federal action in order, from first to last:

I. Publication of the final environmental impact statement
II. Record of Decision
III. Scoping, including identification of the purpose and need
IV. Publication of the draft environmental impact statement and public comment period","IV, III, I, II","III, I, IV, II","IV, I, III, II","III, IV, I, II",D,"Scoping defines purpose, need, and alternatives; a draft EIS is published for comment; a final EIS responds to comments; the Record of Decision concludes the process.",Scoping precedes preparation of the draft.,"The final EIS follows, rather than precedes, the draft and its comment period.",This inverts most of the sequence.,"Scoping defines purpose, need, and alternatives; a draft EIS is published for comment; a final EIS responds to comments; the Record of Decision concludes the process.",National Environmental Policy Act process,environment/nepa-process,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
38,D4-04,DIAG-1.0,4,Plan and Policy Development,4.2 Planning as sequential steps and multivariate analyses,exhibit,application,,,,"| Year | Population |
|---|---|
| 2000 | 40,000 |
| 2010 | 48,000 |
| 2020 | 57,600 |","Using a geometric (constant rate of change) projection based on the observed trend, the approximate 2030 population would be:","64,000","66,400","69,100","72,000",C,"The population grew 20 percent in each decade (40,000 to 48,000 to 57,600). Applying the same rate: 57,600 x 1.20 = 69,120.",This understates the trend and corresponds to no standard method.,"This is the linear projection, adding the average absolute decadal increase of 8,800.","The population grew 20 percent in each decade (40,000 to 48,000 to 57,600). Applying the same rate: 57,600 x 1.20 = 69,120.","This overstates the rate; 72,000 implies 25 percent decadal growth.",Population projection methods (linear vs geometric),research-methods/projection-methods,TRUE,TRUE,review,All Aboard Planning,,2026-09-14
39,D1-07,DIAG-1.0,1,Research and Assessment Methods,1.1 Conducting research and acquiring knowledge,single,application,,,,,"A planner must survey a city whose population is 60 percent homeowners and 40 percent renters, and needs reliable separate estimates for each group. The most appropriate sampling approach is:",Simple random sample of all households,Stratified random sample with tenure as the stratifying variable,Cluster sample by census block group,Snowball sample beginning with neighborhood association contacts,B,"Stratifying on tenure guarantees adequate sample in each subgroup and permits separate, comparable estimates for owners and renters.",A simple random sample would likely yield enough renters here but does not guarantee it and does not control subgroup precision.,"Stratifying on tenure guarantees adequate sample in each subgroup and permits separate, comparable estimates for owners and renters.",Cluster sampling reduces cost but increases design effect and does not ensure tenure representation.,Snowball sampling is non-probability and would compound the engagement bias already present in association contacts.,Sampling design fundamentals,research-methods/sampling,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
40,D5-07,DIAG-1.0,5,Plan Implementation,5.1 Develop and interpret rules and regulations,single,recall,,,,,"In a transfer of development rights program, the sending area is:","The area to be preserved, from which development potential is severed and sold",The area where additional development is encouraged through purchased rights,The area in which the municipality holds a right of first refusal on all sales,The area subject to a temporary development moratorium,A,"Development potential is severed from sending-area parcels, typically farmland or environmentally sensitive land placed under easement, and transferred to receiving areas where increased intensity is desired.","Development potential is severed from sending-area parcels, typically farmland or environmentally sensitive land placed under easement, and transferred to receiving areas where increased intensity is desired.",That describes the receiving area.,Rights of first refusal are a separate acquisition tool.,Moratoria are unrelated to the sending and receiving structure.,Transfer of development rights,implementation/tdr,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
41,D9-04,DIAG-1.0,9,AICP Code of Ethics and Professional Conduct,9.1 Overall responsibility to the public,ethics_case,analysis,,,,,"A planner in a city's long-range division posts on a personal social media account, without identifying her employer, urging neighbors to oppose a rezoning that is pending before her city's planning commission. She is not assigned to the application, but her division's staff comments will be attached to the file.",Definitely violates the AICP Code of Ethics and Professional Conduct,Possibly violates the AICP Code of Ethics and Professional Conduct,Does not violate the AICP Code of Ethics and Professional Conduct,Insufficient information to respond,B,"Planners retain rights as residents, but the Code requires dealing fairly with all participants in the planning process and avoiding conduct that compromises the integrity of a pending proceeding. Whether this crosses the line turns on her division's role in the matter and on local rules governing employee participation, so the correct characterization is that it may violate the Code.","She is not assigned to the application and did not invoke her official position, so a categorical finding is not supported.","Planners retain rights as residents, but the Code requires dealing fairly with all participants in the planning process and avoiding conduct that compromises the integrity of a pending proceeding. Whether this crosses the line turns on her division's role in the matter and on local rules governing employee participation, so the correct characterization is that it may violate the Code.","Her division contributes to the record, which creates a real risk to the appearance of impartiality.","The facts are sufficient to identify a genuine risk; the answer is the degree, not the absence of information.","AICP Code of Ethics and Professional Conduct (2022), Principle A and Rules of Conduct",ethics/public-role-and-private-speech,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
42,D3-06,DIAG-1.0,3,Communication and Interaction,3.1 Communication,ordering,application,,,,,"A planner is designing a three-month engagement process for a neighborhood plan. Place the steps in the order they should occur, from first to last:

I. Report back to participants how their input shaped the draft
II. Identify stakeholders and assess who has historically been excluded
III. Present alternatives and gather reactions
IV. Define the engagement objectives and the decisions that input will actually influence","IV, II, III, I","II, IV, III, I","IV, III, II, I","II, III, IV, I",A,"Engagement design begins by defining what input will influence, since that determines who must be at the table; stakeholder identification follows, then alternatives are tested, and closing the loop comes last.","Engagement design begins by defining what input will influence, since that determines who must be at the table; stakeholder identification follows, then alternatives are tested, and closing the loop comes last.",Identifying stakeholders before defining the decision at issue produces lists without purpose.,Alternatives cannot be tested before the stakeholders to test them with are identified.,Presenting alternatives before objectives are set inverts the process.,"APA Content Outline 3.1, 3.9",engagement/process-design,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
43,D6-04,DIAG-1.0,6,Administration and Management,6.5 Results-oriented management and accountability,single,application,,,,,"A department reports that it processed 1,240 permits last year with an average review time of 12 days. These are:","Outcome measures, because they describe the effect of the department's work",Impact measures suitable for evaluating plan performance,"Benchmarks, because they can be compared to other cities","Output and efficiency measures, which describe volume and process speed rather than the results achieved",D,"Counts of work produced are outputs and processing time is an efficiency measure. Outcomes would describe conditions in the community, such as housing units delivered or compliance rates.",Neither figure describes an effect on community conditions.,Impact measures address longer-term change attributable to the program.,Comparability does not convert an output into a benchmark; a benchmark is a standard chosen for comparison.,"Counts of work produced are outputs and processing time is an efficiency measure. Outcomes would describe conditions in the community, such as housing units delivered or compliance rates.",APA Content Outline 6.5; performance measurement,administration/performance-measures,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
44,D7-04,DIAG-1.0,7,Leadership,7.8 Coaching and mentoring,single,application,,,,,A senior planner mentoring an early-career colleague who is preparing for certification would be most helpful by:,Completing difficult assignments on the colleague's behalf to demonstrate the standard,Recommending the colleague delay certification until they have a decade of experience,Limiting the relationship to reviewing written work products,Providing progressively more challenging assignments with structured feedback and exposure to decision-makers,D,"Development comes from graduated responsibility paired with specific feedback and visibility, which builds judgment rather than substituting the mentor's judgment for the mentee's.",Doing the work removes the learning opportunity.,Discouraging certification without cause is not mentorship.,Document review alone omits the interpersonal and political dimensions of practice.,"Development comes from graduated responsibility paired with specific feedback and visibility, which builds judgment rather than substituting the mentor's judgment for the mentee's.",APA Content Outline 7.8,leadership/mentoring,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
45,D2-05,DIAG-1.0,2,Fundamental Planning Knowledge,2.3 Foundational legal principles,single,recall,,,,,Which statement best distinguishes the police power from eminent domain?,The police power applies only to public property; eminent domain applies only to private property,The police power regulates the use of property without compensation; eminent domain acquires a property interest and requires just compensation,The police power requires a comprehensive plan; eminent domain does not,The police power is a federal authority; eminent domain is reserved to states,B,"Regulation under the police power restricts use in service of health, safety, and welfare without payment, unless it goes so far as to constitute a taking. Eminent domain compels transfer of a property interest and triggers the just compensation requirement.",Both powers operate on private property.,"Regulation under the police power restricts use in service of health, safety, and welfare without payment, unless it goes so far as to constitute a taking. Eminent domain compels transfer of a property interest and triggers the just compensation requirement.","Neither is defined by the presence of a plan, though consistency strengthens regulatory defensibility.",Both are exercised at multiple levels of government.,Constitutional foundations of planning law,planning-law/police-power,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
46,D8-05,DIAG-1.0,8,Areas of Practice,8.13 Historic and cultural resource planning,single,application,,,,,"A private owner objects to a proposed National Register listing, believing it will prevent alterations to the building. The planner should explain that National Register listing alone:","Imposes no restrictions on a private owner acting without federal funding, licensing, or permitting, though it triggers review when a federal undertaking is involved and may confer tax credit eligibility",Prohibits demolition and exterior alteration by the owner,Transfers a preservation easement to the federal government,Requires the owner to open the property to the public,A,The National Register is primarily an honorific and planning inventory. Restrictions on private owners come from local landmark ordinances; federal review under Section 106 applies only to federal undertakings.,The National Register is primarily an honorific and planning inventory. Restrictions on private owners come from local landmark ordinances; federal review under Section 106 applies only to federal undertakings.,"Those restrictions come from a local landmark designation, not the National Register.",No property interest transfers upon listing.,Public access is not a condition of listing.,National Historic Preservation Act; National Register and Section 106,historic-preservation/national-register,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
47,D4-05,DIAG-1.0,4,Plan and Policy Development,4.4 Formulating and drafting policies,single,analysis,,,,,A draft plan policy reads: 'The city should consider strategies to address housing affordability as appropriate.' The principal weakness of this policy is that it:,Is too narrow in scope to guide decisions,Uses the word 'city' rather than naming a department,"Provides no direction, standard, or accountability, so it cannot guide a future decision or be evaluated",Addresses a subject better left to the private market,C,"A policy must give decision-makers a rule of action. 'Consider as appropriate' commits the city to nothing, cannot be applied to a specific proposal, and cannot be monitored.","The problem is vagueness, not narrowness.",Assigning responsibility belongs to implementation actions; the core defect is the absent standard.,"A policy must give decision-makers a rule of action. 'Consider as appropriate' commits the city to nothing, cannot be applied to a specific proposal, and cannot be monitored.",Housing affordability is a core planning subject.,"APA Content Outline 4.4, 4.5",plan-making/writing-policy,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
48,D1-08,DIAG-1.0,1,Research and Assessment Methods,1.3 Spatial analysis,single,application,,,,,A planner needs to identify every parcel with any portion lying within one-quarter mile of a light rail station. The correct sequence of GIS operations is:,"Geocode the parcels, then run a spatial join to the transit route layer","Dissolve the parcel layer, then clip it to the transit corridor","Create a choropleth of parcel values, then overlay the station points","Buffer the station points, then intersect the buffer with the parcel layer",D,A quarter-mile buffer around the station points defines the area of interest; intersecting (or selecting by location) against parcels returns every parcel touching that area.,Geocoding converts addresses to points and is unnecessary; joining to the route rather than the station misstates the question.,Dissolve merges features and destroys the parcel-level detail the analysis requires.,"A choropleth is a display technique, not a selection operation.",A quarter-mile buffer around the station points defines the area of interest; intersecting (or selecting by location) against parcels returns every parcel touching that area.,APA Content Outline 1.3,research-methods/gis-buffer-overlay,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
49,D5-08,DIAG-1.0,5,Plan Implementation,5.1 Develop and interpret rules and regulations,negative,recall,,,,,All of the following are appropriately included in a capital improvements program EXCEPT:,Acquisition of land for a future fire station,Salaries of library staff and routine building maintenance,Construction of a new branch library,Replacement of a major sewer trunk line,B,"A CIP schedules major, non-recurring capital expenditures with multi-year useful lives. Recurring personnel and routine maintenance costs belong to the operating budget.",Land acquisition for a public facility is a capital expenditure.,"A CIP schedules major, non-recurring capital expenditures with multi-year useful lives. Recurring personnel and routine maintenance costs belong to the operating budget.",Facility construction is the classic CIP item.,Major infrastructure replacement is a capital expenditure.,Capital improvements programming,finance/cip,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
50,D9-05,DIAG-1.0,9,AICP Code of Ethics and Professional Conduct,9.4 Upholding the rules of conduct (compliance and administration),single,recall,,,,,An AICP member is uncertain whether a proposed course of action complies with the Code. The appropriate step is to:,Poll colleagues in the local APA chapter and follow the majority view,"Proceed, since only a filed charge can establish a violation","Request an opinion from the city attorney, whose determination is binding on AICP",Request a formal advisory ruling from the AICP Ethics Officer before acting,D,"The Code's administrative provisions allow members to seek an advisory ruling from the Ethics Officer on the propriety of proposed conduct, which is the mechanism for resolving uncertainty in advance.",Informal consensus among colleagues has no standing under the Code.,The obligation to comply exists independently of whether anyone files a charge.,"A local attorney's opinion addresses legal exposure, not AICP ethical obligations.","The Code's administrative provisions allow members to seek an advisory ruling from the Ethics Officer on the propriety of proposed conduct, which is the mechanism for resolving uncertainty in advance.","AICP Code of Ethics and Professional Conduct (2022), administration provisions",ethics/advisory-rulings,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
51,D3-07,DIAG-1.0,3,Communication and Interaction,3.11 Evidence-based argument formulation,single,application,,,,,A planner must present a complex traffic analysis to a city council with no technical background and 10 minutes on the agenda. The most effective approach is to:,Walk through the model's assumptions and calibration in sequence so the council can verify the work,"Lead with the recommendation and its two or three decisive findings, using simple graphics, and offer technical detail on request",Distribute the full consultant report and summarize its table of contents,"Defer the presentation to the consultant, who understands the model best",B,"Decision-makers need the conclusion, the evidence that drives it, and a clear ask. Depth is held in reserve for questions and for the written record.",Methodology-first presentations consume the time before reaching the decision point.,"Decision-makers need the conclusion, the evidence that drives it, and a clear ask. Depth is held in reserve for questions and for the written record.",Handing over a document is not a presentation and does not support a decision.,The planner is accountable for the recommendation and cannot delegate that to a consultant.,"APA Content Outline 3.1, 3.11",communication/presenting-to-decision-makers,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
52,D6-05,DIAG-1.0,6,Administration and Management,6.1 Project or program management,negative,recall,,,,,All of the following normally appear in a consultant scope of work EXCEPT:,The consultant firm's internal profit margin on the engagement,Deliverables with due dates and acceptance criteria,Roles and responsibilities of city staff and the consultant team,"Meeting and engagement commitments, including number and type of public sessions",A,"A scope defines what will be delivered, by whom, and when. Internal margin is proprietary to the firm and is not a scope element.","A scope defines what will be delivered, by whom, and when. Internal margin is proprietary to the firm and is not a scope element.",Deliverables and acceptance criteria are core scope content.,Allocating responsibilities between client and consultant prevents disputes.,Engagement commitments are typically itemized because they drive cost and schedule.,APA Content Outline 6.1; contract management,administration/scope-of-work,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
53,D7-05,DIAG-1.0,7,Leadership,"7.6 The ethics of equity, diversity, and inclusivity in practice",roman,application,,,,,"A planning director wants to make equity practice durable rather than dependent on individual staff initiative. Which actions accomplish that?

I. Building equity criteria into the standard staff report template used for every application
II. Setting clear expectations and asking for feedback from staff and community partners on how the criteria work in practice
III. Designating a single staff member as the equity liaison and routing all related questions to that person
IV. Including equity outcomes in the department work plan and reporting on them publicly","I, II, and IV only",I and IV only,"II, III, and IV only","I, II, III, and IV",A,"Embedding criteria in routine templates, iterating based on feedback, and public reporting institutionalize the practice. Concentrating it in one person makes it fragile and lets everyone else opt out.","Embedding criteria in routine templates, iterating based on feedback, and public reporting institutionalize the practice. Concentrating it in one person makes it fragile and lets everyone else opt out.","Omits the feedback loop, which is how the criteria improve.",III is the action that undermines durability.,III works against the stated objective.,APA Content Outline 7.6,leadership/institutionalizing-equity,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
54,D2-06,DIAG-1.0,2,Fundamental Planning Knowledge,2.4 Planning theory,single,application,,,,,"A planning director faces a politically contested corridor decision with incomplete data and limited time, and proceeds by making a series of small adjustments to existing policy rather than evaluating all alternatives against a full set of objectives. This approach is best described as:",Rational comprehensive planning,Advocacy planning,Disjointed incrementalism,Transactive planning,C,"Lindblom's incrementalism describes successive limited comparisons, adjusting at the margins of existing policy under conditions of bounded rationality, which is exactly the described behavior.",Rational comprehensive planning requires clarified goals and systematic evaluation of alternatives.,Advocacy planning involves representing the interests of an underrepresented group.,"Lindblom's incrementalism describes successive limited comparisons, adjusting at the margins of existing policy under conditions of bounded rationality, which is exactly the described behavior.",Transactive planning emphasizes face-to-face mutual learning between planner and those affected.,"Lindblom, The Science of Muddling Through (1959)",theory/incrementalism,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
55,D8-06,DIAG-1.0,8,Areas of Practice,8.10 Urban design,roman,application,,,,,"A downtown placemaking strategy aims to increase pedestrian activity on a wide, empty main street. Which interventions address the design problem?

I. Narrowing effective travel lanes and widening sidewalks to slow traffic and expand the pedestrian realm
II. Requiring active ground-floor uses with transparent frontage on key blocks
III. Adding surface parking on vacant corner lots to increase convenience
IV. Programming the street with markets and events to build an activity pattern",I and II only,"I, II, and IV only","II, III, and IV only","I, II, III, and IV",B,"Narrowing the roadway, activating ground floors, and programming the space all build pedestrian activity. Surface parking on corners breaks street enclosure and continuity, which works against it.","Omits programming, often the fastest and cheapest intervention.","Narrowing the roadway, activating ground floors, and programming the space all build pedestrian activity. Surface parking on corners breaks street enclosure and continuity, which works against it.",III undermines the pedestrian environment.,III is counterproductive.,APA Content Outline 8.10; placemaking and public realm design,urban-design/placemaking,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
56,D4-06,DIAG-1.0,4,Plan and Policy Development,4.10 Identifying and evaluating consequences,single,recall,,,,,A fiscal impact analysis of a proposed 600-unit subdivision would primarily estimate:,The change in property values on adjacent parcels,The number of construction and permanent jobs created in the region,The projected internal rate of return to the developer,The public service and facility costs generated by the development relative to the public revenues it produces,D,"Fiscal impact analysis compares the costs of serving new development with the revenues it generates for the jurisdiction, typically over a defined period.","That is a market or appraisal question, not fiscal impact.","Job creation is economic impact, a related but distinct analysis.",Return to the developer is a pro forma question for the private party.,"Fiscal impact analysis compares the costs of serving new development with the revenues it generates for the jurisdiction, typically over a defined period.",Fiscal impact analysis methods,plan-making/fiscal-impact,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
57,D1-09,DIAG-1.0,1,Research and Assessment Methods,1.5 Data collection strategies,negative,recall,,,,,All of the following are primary data collection methods EXCEPT:,Tabulation of decennial census counts,Windshield survey of building conditions,Focus groups with corridor business owners,Intercept interviews at a transit station,A,"Primary data are collected by the planner for the purpose at hand. Census tabulations are secondary data, gathered by another party for other purposes.","Primary data are collected by the planner for the purpose at hand. Census tabulations are secondary data, gathered by another party for other purposes.","A windshield survey is direct observation by the planner, which is primary data.",Focus groups generate original qualitative data.,Intercept interviews are original data collection.,APA Content Outline 1.5,research-methods/primary-secondary-data,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
58,D5-09,DIAG-1.0,5,Plan Implementation,5.1 Develop and interpret rules and regulations,ordering,application,,,,,"Place the following steps in the typical order for a legislative rezoning followed by construction, from first to last:

I. Building permit issuance
II. Governing body action on the rezoning after public hearing
III. Pre-application conference and neighborhood meeting
IV. Site plan or subdivision approval","II, III, IV, I","III, IV, II, I","III, II, IV, I","IV, III, II, I",C,Pre-application discussion precedes formal filing; the legislative rezoning establishes what may be built; site plan or subdivision approval applies the standards to the specific proposal; permits follow.,A rezoning would not be acted on before the applicant has entered the process.,Site plan approval cannot precede the rezoning that authorizes the use.,Pre-application discussion precedes formal filing; the legislative rezoning establishes what may be built; site plan or subdivision approval applies the standards to the specific proposal; permits follow.,This inverts nearly the entire sequence.,Development review process,implementation/development-review,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
59,D9-06,DIAG-1.0,9,AICP Code of Ethics and Professional Conduct,9.2 Responsibility to clients and employers,single,application,,,,,"A small firm is offered a transportation modeling assignment that no one on staff is qualified to perform. Under the Code, the firm's AICP principal may:","Accept the work only if it is performed under the direction of, or in association with, someone competent to do it, and the client is informed","Accept the work and learn the method during the engagement, since professional growth is encouraged","Accept the work and subcontract it without informing the client, since the client contracted with the firm",Accept the work at a reduced fee reflecting the firm's inexperience,A,"The Code requires competent performance of work for clients and employers. Association with qualified practitioners, disclosed to the client, is the accepted way to take on work outside a firm's own competence.","The Code requires competent performance of work for clients and employers. Association with qualified practitioners, disclosed to the client, is the accepted way to take on work outside a firm's own competence.",Learning on a client's project without qualified supervision is precisely what the competence requirement forbids.,Concealing who performs the work misleads the client.,A discount does not cure the absence of competence.,"AICP Code of Ethics and Professional Conduct (2022), Principle B",ethics/competence,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
